Base Number,Pick Up Date,Number of Trips,Number of Vehicles
B02513,01/12/2015, 28 , 7 
B02566,01/12/2015, 8 , 7 
B02569,01/12/2015, 194 , 1 
B02653,01/12/2015," 1,054 ", 107 
B02715,01/12/2015, 298 , 84 
B00013,01/13/2015, 448 , 111 
B00014,01/13/2015, 663 , 169 
B00029,01/13/2015," 1,267 ", 52 
B00053,01/13/2015, 119 , 67 
B00095,01/13/2015, 722 , 78 
B00221,01/13/2015, 571 , 80 
B00227,01/13/2015, 609 , 165 
B00248,01/13/2015," 1,049 ", 124 
B00254,01/13/2015," 1,388 ", 313 
B00280,01/13/2015, 266 , 78 
B00310,01/13/2015," 1,626 ", 149 
B00381,01/13/2015, 341 , 91 
B00412,01/13/2015, 461 , 92 
B00448,01/13/2015, 4 , 2 
B00457,01/13/2015," 1,068 ", 111 
B00477,01/13/2015, 595 , 152 
B00552,01/13/2015, 46 , 31 
B00623,01/13/2015, 22 , 7 
B00837,01/13/2015, 571 , 172 
B00887,01/13/2015," 2,141 ", 673 
B00919,01/13/2015, 566 , 65 
B00948,01/13/2015, 646 , 62 
B01066,01/13/2015, 688 , 79 
B01083,01/13/2015, 840 , 107 
B01087,01/13/2015, 898 , 245 
B01148,01/13/2015, 403 , 63 
B01197,01/13/2015, 332 , 90 
B01282,01/13/2015," 1,064 ", 75 
B01285,01/13/2015," 1,299 ", 149 
B01300,01/13/2015, 765 , 127 
B01312,01/13/2015, 899 , 115 
B01313,01/13/2015, 46 , 40 
B01315,01/13/2015," 1,470 ", 145 
B01341,01/13/2015," 1,456 ", 161 
b01346,01/13/2015, 816 , 113 
B01367    ,01/13/2015, 240 , 70 
B01386,01/13/2015," 2,090 ", 195 
B01522,01/13/2015, 70 , 16 
B01651,01/13/2015, 374 , 54 
B01777,01/13/2015, 698 , 134 
B01848,01/13/2015, 7 , -   
B01877,01/13/2015, 516 , 135 
B01899,01/13/2015," 1,385 ", 123 
B01949,01/13/2015, 54 , 29 
B01984,01/13/2015, 478 , 95 
B01990,01/13/2015, 122 , 34 
B02003,01/13/2015, 238 , 84 
B02022,01/13/2015, 111 , 30 
B02096,01/13/2015, 12 , 8 
B02107,01/13/2015, 646 , 86 
B02120,01/13/2015, 298 , 101 
B02147,01/13/2015, 54 , 15 
B02183,01/13/2015, 5 , 5 
B02285,01/13/2015, 264 , 87 
B02475,01/13/2015, 9 , 5 
B02513,01/13/2015, 24 , 7 
B02566,01/13/2015, 9 , 8 
B02569,01/13/2015, 159 , 1 
B02653,01/13/2015, 986 , 107 
B02715,01/13/2015, 304 , 83 
B00013,01/14/2015, 501 , 115 
B00014,01/14/2015, 719 , 174 
B00029,01/14/2015, 862 , 49 
B00053,01/14/2015, 115 , 62 
B00095,01/14/2015, 748 , 89 
B00221,01/14/2015, 599 , 81 
B00227,01/14/2015, 623 , 174 
B00248,01/14/2015," 1,068 ", 126 
B00254,01/14/2015," 1,469 ", 319 
B00280,01/14/2015, 352 , 89 
B00310,01/14/2015," 1,516 ", 153 
B00381,01/14/2015, 367 , 89 
B00412,01/14/2015, 491 , 93 
B00448,01/14/2015, 3 , 1 
B00457,01/14/2015," 1,079 ", 114 
B00477,01/14/2015, 644 , 152 
B00552,01/14/2015, 51 , 33 
B00623,01/14/2015, 24 , 9 
B00837,01/14/2015, 544 , 174 
B00887,01/14/2015," 2,265 ", 715 
B00919,01/14/2015, 413 , 66 
B00948,01/14/2015, 618 , 62 
B01066,01/14/2015, 679 , 75 
B01083,01/14/2015, 803 , 104 
B01087,01/14/2015, 977 , 260 
B01148,01/14/2015, 428 , 61 
B01197,01/14/2015, 334 , 91 
B01282,01/14/2015," 1,075 ", 73 
B01285,01/14/2015," 1,272 ", 153 
B01300,01/14/2015, 761 , 123 
B01312,01/14/2015, 859 , 111 
B01313,01/14/2015, 32 , 21 
B01315,01/14/2015," 1,517 ", 140 
B01341,01/14/2015," 1,422 ", 154 
b01346,01/14/2015, 919 , 112 
B01367    ,01/14/2015, 279 , 78 
B01386,01/14/2015," 2,010 ", 198 
B01522,01/14/2015, 85 , 15 
B01651,01/14/2015, 371 , 52 
B01777,01/14/2015, 713 , 129 
B01848,01/14/2015, 6 , -   
B01877,01/14/2015, 440 , 123 
B01899,01/14/2015," 1,376 ", 127 
B01949,01/14/2015, 71 , 34 
B01984,01/14/2015, 571 , 100 
B01990,01/14/2015, 152 , 39 
B02003,01/14/2015, 260 , 83 
B02022,01/14/2015, 106 , 30 
B02096,01/14/2015, 20 , 17 
B02107,01/14/2015, 653 , 85 
B02120,01/14/2015, 326 , 99 
B02147,01/14/2015, 36 , 10 
B02183,01/14/2015, 16 , 16 
B02285,01/14/2015, 248 , 91 
B02475,01/14/2015, 14 , 8 
B02513,01/14/2015, 20 , 5 
B02566,01/14/2015, 8 , 7 
B02569,01/14/2015, 151 , 1 
B02653,01/14/2015, 950 , 111 
B02715,01/14/2015, 298 , 84 
B00013,01/15/2015, 495 , 112 
B00014,01/15/2015, 770 , 178 
B00029,01/15/2015, 783 , 46 
B00053,01/15/2015, 116 , 62 
B00095,01/15/2015, 790 , 88 
B00221,01/15/2015, 572 , 85 
B00227,01/15/2015, 668 , 178 
B00248,01/15/2015," 1,012 ", 129 
B00254,01/15/2015," 1,618 ", 324 
B00280,01/15/2015, 304 , 86 
B00310,01/15/2015," 1,642 ", 153 
B00381,01/15/2015, 367 , 89 
B00412,01/15/2015, 454 , 94 
B00448,01/15/2015, 4 , 1 
B00457,01/15/2015," 1,201 ", 107 
B00477,01/15/2015, 654 , 150 
B00552,01/15/2015, 41 , 30 
B00623,01/15/2015, 25 , 10 
B00837,01/15/2015, 544 , 165 
B00887,01/15/2015," 2,739 ", 767 
B00919,01/15/2015, 539 , 72 
B00948,01/15/2015, 636 , 62 
B01066,01/15/2015, 672 , 80 
B01083,01/15/2015, 799 , 101 
B01087,01/15/2015," 1,000 ", 265 
B01148,01/15/2015, 488 , 61 
B01197,01/15/2015, 349 , 89 
B01282,01/15/2015," 1,087 ", 75 
B01285,01/15/2015," 1,218 ", 150 
B01300,01/15/2015, 770 , 127 
B01312,01/15/2015, 796 , 112 
B01313,01/15/2015, 32 , 22 
B01315,01/15/2015," 1,472 ", 145 
B01341,01/15/2015," 1,392 ", 153 
b01346,01/15/2015, 905 , 112 
B01367    ,01/15/2015, 286 , 81 
B01386,01/15/2015," 2,021 ", 200 
B01522,01/15/2015, 79 , 14 
B01651,01/15/2015, 369 , 56 
B01777,01/15/2015, 713 , 140 
B01848,01/15/2015, 7 , -   
B01877,01/15/2015, 428 , 130 
B01899,01/15/2015," 1,381 ", 131 
B01949,01/15/2015, 74 , 32 
B01984,01/15/2015, 548 , 105 
B01990,01/15/2015, 166 , 38 
B02003,01/15/2015, 281 , 86 
B02022,01/15/2015, 115 , 31 
B02096,01/15/2015, 26 , 20 
B02107,01/15/2015, 688 , 83 
B02120,01/15/2015, 332 , 106 
B02147,01/15/2015, 40 , 13 
B02183,01/15/2015, 19 , 19 
B02285,01/15/2015, 299 , 92 
B02475,01/15/2015, 13 , 7 
B02513,01/15/2015, 26 , 6 
B02566,01/15/2015, 16 , 15 
B02569,01/15/2015, 155 , 1 
B02653,01/15/2015, 983 , 113 
B02715,01/15/2015, 301 , 77 
B00013,01/16/2015, 349 , 109 
B00014,01/16/2015, 493 , 158 
B00029,01/16/2015," 1,452 ", 55 
B00053,01/16/2015, 76 , 47 
B00095,01/16/2015, 959 , 87 
B00221,01/16/2015, 610 , 87 
B00227,01/16/2015, 495 , 160 
B00248,01/16/2015," 1,127 ", 131 
B00254,01/16/2015," 1,047 ", 289 
B00280,01/16/2015, 317 , 84 
B00310,01/16/2015," 2,052 ", 153 
B00381,01/16/2015, 241 , 74 
B00412,01/16/2015, 322 , 69 
B00448,01/16/2015, 4 , 1 
B00457,01/16/2015," 1,507 ", 117 
B00477,01/16/2015, 497 , 132 
B00552,01/16/2015, 36 , 26 
B00623,01/16/2015, 15 , 7 
B00837,01/16/2015, 435 , 147 
B00887,01/16/2015," 2,667 ", 759 
B00919,01/16/2015, 702 , 71 
B00948,01/16/2015, 764 , 64 
B01066,01/16/2015, 790 , 84 
B01083,01/16/2015, 958 , 100 
B01087,01/16/2015, 666 , 235 
B01148,01/16/2015, 521 , 62 
B01197,01/16/2015, 261 , 81 
B01282,01/16/2015," 1,289 ", 79 
B01285,01/16/2015," 1,614 ", 161 
B01300,01/16/2015, 922 , 131 
B01312,01/16/2015, 752 , 115 
B01313,01/16/2015, 52 , 40 
B01315,01/16/2015," 1,749 ", 152 
B01341,01/16/2015," 1,650 ", 160 
b01346,01/16/2015," 1,005 ", 123 
B01367    ,01/16/2015, 198 , 66 
B01386,01/16/2015," 2,629 ", 201 
B01522,01/16/2015, 98 , 15 
B01651,01/16/2015, 421 , 58 
B01777,01/16/2015, 951 , 144 
B01848,01/16/2015, 8 , -   
B01877,01/16/2015, 258 , 101 
B01899,01/16/2015," 1,273 ", 125 
B01949,01/16/2015, 39 , 25 
B01984,01/16/2015, 652 , 95 
B01990,01/16/2015, 120 , 33 
B02003,01/16/2015, 195 , 74 
B02022,01/16/2015, 81 , 29 
B02096,01/16/2015, 26 , 19 
B02107,01/16/2015, 857 , 88 
B02120,01/16/2015, 251 , 89 
B02147,01/16/2015, 24 , 7 
B02285,01/16/2015, 189 , 79 
B02475,01/16/2015, 4 , 4 
B02513,01/16/2015, 11 , 4 
B02566,01/16/2015, 9 , 7 
B02569,01/16/2015, 157 , 1 
B02653,01/16/2015," 1,310 ", 118 
B02715,01/16/2015, 224 , 76 
B00013,01/17/2015, 120 , 62 
B00014,01/17/2015, 145 , 71 
B00029,01/17/2015," 1,294 ", 45 
B00053,01/17/2015, 20 , 15 
B00095,01/17/2015," 1,057 ", 85 
B00221,01/17/2015, 368 , 72 
B00227,01/17/2015, 139 , 69 
B00248,01/17/2015, 982 , 131 
B00254,01/17/2015, 370 , 154 
B00280,01/17/2015, 134 , 60 
B00310,01/17/2015," 1,919 ", 152 
B00381,01/17/2015, 51 , 26 
B00412,01/17/2015, 136 , 35 
B00448,01/17/2015, 1 , 1 
B00457,01/17/2015," 1,437 ", 120 
B00477,01/17/2015, 173 , 69 
B00552,01/17/2015, 17 , 12 
B00623,01/17/2015, 2 , 2 
B00837,01/17/2015, 131 , 56 
B00887,01/17/2015," 1,681 ", 610 
B00919,01/17/2015, 659 , 70 
B00948,01/17/2015, 743 , 62 
B01066,01/17/2015, 871 , 84 
B01083,01/17/2015," 1,021 ", 100 
B01087,01/17/2015, 172 , 101 
B01148,01/17/2015, 576 , 60 
B01197,01/17/2015, 86 , 42 
B01282,01/17/2015," 1,205 ", 77 
B01285,01/17/2015," 1,781 ", 166 
B01300,01/17/2015, 937 , 132 
B01312,01/17/2015, 483 , 79 
B01313,01/17/2015, 14 , 11 
B01315,01/17/2015," 1,793 ", 150 
B01341,01/17/2015," 1,061 ", 131 
b01346,01/17/2015," 1,048 ", 121 
B01367    ,01/17/2015, 57 , 31 
B01386,01/17/2015," 3,075 ", 200 
B01522,01/17/2015, 77 , 15 
B01651,01/17/2015, 449 , 55 
B01777,01/17/2015, 974 , 145 
B01848,01/17/2015, 6 , -   
B01877,01/17/2015, 65 , 38 
B01899,01/17/2015, 838 , 80 
B01949,01/17/2015, 1 , 1 
B01984,01/17/2015, 277 , 75 
B01990,01/17/2015, 76 , 27 
B02003,01/17/2015, 53 , 29 
B02022,01/17/2015, 28 , 12 
B02096,01/17/2015, 5 , 5 
B02107,01/17/2015, 949 , 89 
B02120,01/17/2015, 90 , 40 
B02147,01/17/2015, 28 , 7 
B02183,01/17/2015, 16 , 16 
B02285,01/17/2015, 41 , 22 
B02475,01/17/2015, 22 , 8 
B02513,01/17/2015, 1 , 1 
B02566,01/17/2015, 3 , 3 
B02569,01/17/2015, 72 , 1 
B02653,01/17/2015," 1,368 ", 110 
B02715,01/17/2015, 101 , 43 
B00013,01/18/2015, 59 , 34 
B00014,01/18/2015, 167 , 71 
B00029,01/18/2015, 937 , 38 
B00053,01/18/2015, 17 , 11 
B00095,01/18/2015," 1,098 ", 73 
B00221,01/18/2015, 316 , 55 
B00227,01/18/2015, 130 , 61 
B00248,01/18/2015, 977 , 102 
B00254,01/18/2015, 317 , 131 
B00280,01/18/2015, 183 , 66 
B00310,01/18/2015," 1,871 ", 122 
B00381,01/18/2015, 69 , 31 
B00412,01/18/2015, 151 , 44 
B00457,01/18/2015," 1,405 ", 94 
B00477,01/18/2015, 150 , 57 
B00552,01/18/2015, 18 , 13 
B00837,01/18/2015, 155 , 61 
B00887,01/18/2015," 1,626 ", 541 
B00919,01/18/2015, 706 , 69 
B00948,01/18/2015, 644 , 59 
B01066,01/18/2015, 840 , 79 
B01083,01/18/2015," 1,018 ", 85 
B01087,01/18/2015, 158 , 83 
B01148,01/18/2015, 560 , 52 
B01197,01/18/2015, 49 , 21 
B01282,01/18/2015, 942 , 72 
B01285,01/18/2015," 1,626 ", 142 
B01300,01/18/2015, 907 , 112 
B01312,01/18/2015, 708 , 80 
B01315,01/18/2015," 1,424 ", 127 
B01341,01/18/2015, 992 , 109 
b01346,01/18/2015," 1,046 ", 107 
B01367    ,01/18/2015, 35 , 17 
B01386,01/18/2015," 2,987 ", 185 
B01522,01/18/2015, 99 , 13 
B01651,01/18/2015, 362 , 44 
B01777,01/18/2015, 960 , 116 
B01848,01/18/2015, 5 , -   
B01877,01/18/2015, 68 , 39 
B01899,01/18/2015, 691 , 83 
B01984,01/18/2015, 81 , 41 
B01990,01/18/2015, 40 , 16 
B02003,01/18/2015, 34 , 22 
B02022,01/18/2015, 15 , 10 
B02096,01/18/2015, 6 , 5 
B02107,01/18/2015," 1,219 ", 78 
B02120,01/18/2015, 130 , 58 
B02147,01/18/2015, 16 , 7 
B02285,01/18/2015, 64 , 28 
B02475,01/18/2015, 15 , 5 
B02513,01/18/2015, 9 , 2 
B02566,01/18/2015, 2 , 2 
B02569,01/18/2015, 62 , 1 
B02653,01/18/2015," 1,563 ", 93 
B02715,01/18/2015, 110 , 41 
B00013,01/19/2015, 106 , 53 
B00014,01/19/2015, 244 , 99 
B00029,01/19/2015, 986 , 45 
B00053,01/19/2015, 37 , 24 
B00095,01/19/2015, 625 , 77 
B00221,01/19/2015, 358 , 71 
B00227,01/19/2015, 262 , 110 
B00248,01/19/2015, 965 , 127 
B00254,01/19/2015, 557 , 218 
B00280,01/19/2015, 142 , 60 
B00310,01/19/2015," 1,313 ", 144 
B00381,01/19/2015, 85 , 44 
B00412,01/19/2015, 238 , 58 
B00448,01/19/2015, 1 , 1 
B00457,01/19/2015, 856 , 102 
B00477,01/19/2015, 240 , 100 
B00552,01/19/2015, 24 , 17 
B00623,01/19/2015, 9 , 5 
B00837,01/19/2015, 338 , 119 
B00887,01/19/2015," 2,149 ", 681 
B00919,01/19/2015, 433 , 65 
B00948,01/19/2015, 464 , 57 
B01066,01/19/2015, 613 , 81 
B01083,01/19/2015, 648 , 90 
B01087,01/19/2015, 300 , 154 
B01148,01/19/2015, 366 , 48 
B01197,01/19/2015, 153 , 56 
B01282,01/19/2015, 872 , 69 
B01285,01/19/2015," 1,090 ", 147 
B01300,01/19/2015, 602 , 107 
B01312,01/19/2015, 598 , 103 
B01313,01/19/2015, 28 , 21 
B01315,01/19/2015," 1,173 ", 134 
B01341,01/19/2015, 787 , 126 
b01346,01/19/2015, 594 , 103 
B01367    ,01/19/2015, 81 , 41 
B01386,01/19/2015," 1,904 ", 182 
B01522,01/19/2015, 69 , 13 
B01651,01/19/2015, 302 , 52 
B01777,01/19/2015, 557 , 120 
B01848,01/19/2015, 7 , -   
B01877,01/19/2015, 150 , 74 
B01899,01/19/2015, 841 , 79 
B01949,01/19/2015, 10 , 7 
B01984,01/19/2015, 375 , 87 
B01990,01/19/2015, 42 , 18 
B02003,01/19/2015, 110 , 50 
B02022,01/19/2015, 48 , 24 
B02096,01/19/2015, 5 , 4 
B02107,01/19/2015, 542 , 81 
B02120,01/19/2015, 224 , 87 
B02147,01/19/2015, 20 , 8 
B02183,01/19/2015, 39 , 38 
B02285,01/19/2015, 96 , 52 
B02475,01/19/2015, 13 , 6 
B02513,01/19/2015, 14 , 4 
B02566,01/19/2015, 7 , 5 
B02569,01/19/2015, 88 , 1 
B02653,01/19/2015, 876 , 99 
B02715,01/19/2015, 175 , 65 
B00013,01/20/2015, 395 , 115 
B00014,01/20/2015, 601 , 175 
B00029,01/20/2015," 1,108 ", 53 
B00053,01/20/2015, 91 , 53 
B00095,01/20/2015, 705 , 81 
B00221,01/20/2015, 571 , 86 
B00227,01/20/2015, 552 , 166 
B00248,01/20/2015," 1,035 ", 132 
B00254,01/20/2015," 1,299 ", 307 
B00280,01/20/2015, 279 , 87 
B00310,01/20/2015," 1,374 ", 150 
B00381,01/20/2015, 313 , 89 
B00412,01/20/2015, 451 , 93 
B00448,01/20/2015, 3 , 2 
B00457,01/20/2015, 994 , 114 
B00477,01/20/2015, 555 , 149 
B00552,01/20/2015, 41 , 30 
B00623,01/20/2015, 14 , 6 
B00837,01/20/2015, 518 , 176 
B00887,01/20/2015," 2,191 ", 707 
B00919,01/20/2015, 534 , 62 
B00948,01/20/2015, 532 , 62 
B01066,01/20/2015, 658 , 81 
B01083,01/20/2015, 728 , 101 
B01087,01/20/2015, 887 , 258 
B01148,01/20/2015, 406 , 60 
B01197,01/20/2015, 347 , 94 
B01282,01/20/2015," 1,038 ", 78 
B01285,01/20/2015," 1,173 ", 160 
B01300,01/20/2015, 729 , 126 
B01312,01/20/2015, 790 , 115 
B01313,01/20/2015, 22 , 19 
B01315,01/20/2015," 1,349 ", 146 
B01341,01/20/2015," 1,294 ", 166 
b01346,01/20/2015, 674 , 114 
B01367    ,01/20/2015, 242 , 73 
B01386,01/20/2015," 1,926 ", 197 
B01522,01/20/2015, 92 , 15 
B01651,01/20/2015, 352 , 54 
B01777,01/20/2015, 719 , 134 
B01848,01/20/2015, 11 , -   
B01877,01/20/2015, 454 , 135 
B01899,01/20/2015," 1,310 ", 125 
B01949,01/20/2015, 55 , 29 
B01984,01/20/2015, 498 , 99 
B01990,01/20/2015, 116 , 31 
B02003,01/20/2015, 260 , 86 
B02022,01/20/2015, 92 , 29 
B02096,01/20/2015, 27 , 19 
B02107,01/20/2015, 558 , 87 
B02120,01/20/2015, 302 , 99 
B02147,01/20/2015, 42 , 10 
B02183,01/20/2015, 12 , 12 
B02285,01/20/2015, 223 , 83 
B02475,01/20/2015, 20 , 8 
B02513,01/20/2015, 22 , 7 
B02566,01/20/2015, 11 , 9 
B02569,01/20/2015, 151 , 1 
B02653,01/20/2015, 937 , 110 
B02715,01/20/2015, 276 , 83 
B00013,01/21/2015, 453 , 116 
B00014,01/21/2015, 698 , 176 
B00029,01/21/2015, 744 , 50 
B00053,01/21/2015, 96 , 58 
B00095,01/21/2015, 708 , 81 
B00221,01/21/2015, 594 , 89 
B00227,01/21/2015, 551 , 165 
B00248,01/21/2015," 1,048 ", 133 
B00254,01/21/2015," 1,380 ", 318 
B00280,01/21/2015, 334 , 93 
B00310,01/21/2015," 1,448 ", 150 
B00381,01/21/2015, 320 , 88 
B00412,01/21/2015, 438 , 96 
B00448,01/21/2015, 5 , 2 
B00457,01/21/2015, 974 , 111 
B00477,01/21/2015, 664 , 154 
B00552,01/21/2015, 51 , 32 
B00623,01/21/2015, 22 , 10 
B00837,01/21/2015, 533 , 185 
B00887,01/21/2015," 2,087 ", 717 
B00919,01/21/2015, 473 , 68 
B00948,01/21/2015, 534 , 60 
B01066,01/21/2015, 568 , 82 
B01083,01/21/2015, 803 , 111 
B01087,01/21/2015, 986 , 263 
B01148,01/21/2015, 418 , 57 
B01197,01/21/2015, 331 , 89 
B01282,01/21/2015," 1,041 ", 76 
B01285,01/21/2015," 1,166 ", 155 
B01300,01/21/2015, 698 , 129 
B01312,01/21/2015, 843 , 115 
B01313,01/21/2015, 8 , 8 
B01315,01/21/2015," 1,421 ", 143 
B01341,01/21/2015," 1,242 ", 167 
b01346,01/21/2015, 732 , 116 
B01367    ,01/21/2015, 236 , 71 
B01386,01/21/2015," 1,896 ", 192 
B01522,01/21/2015, 88 , 14 
B01651,01/21/2015, 330 , 55 
B01777,01/21/2015, 728 , 133 
B01848,01/21/2015, 11 , -   
B01877,01/21/2015, 475 , 131 
B01899,01/21/2015," 1,289 ", 114 
B01949,01/21/2015, 66 , 30 
B01984,01/21/2015, 556 , 97 
B01990,01/21/2015, 130 , 35 
B02003,01/21/2015, 257 , 87 
B02022,01/21/2015, 114 , 32 
B02096,01/21/2015, 44 , 34 
B02107,01/21/2015, 596 , 83 
B02120,01/21/2015, 323 , 99 
B02147,01/21/2015, 58 , 13 
B02183,01/21/2015, 15 , 15 
B02285,01/21/2015, 263 , 88 
B02475,01/21/2015, 12 , 6 
B02513,01/21/2015, 23 , 7 
B02566,01/21/2015, 13 , 11 
B02569,01/21/2015, 139 , 1 
B02653,01/21/2015, 887 , 108 
B02715,01/21/2015, 290 , 83 
B00013,01/22/2015, 441 , 111 
B00014,01/22/2015, 766 , 180 
B00029,01/22/2015, 761 , 53 
B00053,01/22/2015, 119 , 57 
B00095,01/22/2015, 723 , 85 
B00221,01/22/2015, 569 , 85 
B00227,01/22/2015, 622 , 165 
B00248,01/22/2015," 1,022 ", 134 
B00254,01/22/2015," 1,534 ", 326 
B00280,01/22/2015, 340 , 91 
B00310,01/22/2015," 1,490 ", 152 
B00381,01/22/2015, 334 , 89 
B00412,01/22/2015, 458 , 86 
B00448,01/22/2015, 5 , 2 
B00457,01/22/2015," 1,025 ", 117 
B00477,01/22/2015, 610 , 156 
B00552,01/22/2015, 41 , 25 
B00623,01/22/2015, 21 , 9 
B00837,01/22/2015, 517 , 171 
B00887,01/22/2015," 2,377 ", 750 
B00919,01/22/2015, 513 , 67 
B00948,01/22/2015, 547 , 64 
B01066,01/22/2015, 611 , 85 
B01083,01/22/2015, 827 , 112 
B01087,01/22/2015, 946 , 266 
B01148,01/22/2015, 463 , 60 
B01197,01/22/2015, 348 , 92 
B01282,01/22/2015," 1,077 ", 80 
B01285,01/22/2015," 1,238 ", 154 
B01300,01/22/2015, 723 , 130 
B01312,01/22/2015, 823 , 114 
B01313,01/22/2015, 20 , 18 
B01315,01/22/2015," 1,440 ", 145 
B01341,01/22/2015," 1,242 ", 164 
b01346,01/22/2015, 694 , 115 
B01367    ,01/22/2015, 259 , 76 
B01386,01/22/2015," 1,863 ", 199 
B01522,01/22/2015, 87 , 15 
B01651,01/22/2015, 370 , 55 
B01777,01/22/2015, 670 , 141 
B01848,01/22/2015, 8 , -   
B01877,01/22/2015, 425 , 139 
B01899,01/22/2015," 1,319 ", 124 
B01949,01/22/2015, 65 , 30 
B01984,01/22/2015, 518 , 97 
B01990,01/22/2015, 170 , 41 
B02003,01/22/2015, 254 , 87 
B02022,01/22/2015, 113 , 31 
B02096,01/22/2015, 23 , 18 
B02107,01/22/2015, 640 , 91 
B02120,01/22/2015, 340 , 106 
B02147,01/22/2015, 50 , 11 
B02183,01/22/2015, 10 , 10 
B02285,01/22/2015, 295 , 89 
B02475,01/22/2015, 15 , 7 
B02513,01/22/2015, 22 , 6 
B02566,01/22/2015, 11 , 10 
B02569,01/22/2015, 167 , 1 
B02653,01/22/2015, 920 , 115 
B02715,01/22/2015, 316 , 82 
B00013,01/23/2015, 292 , 101 
B00014,01/23/2015, 508 , 167 
B00029,01/23/2015," 1,371 ", 51 
B00053,01/23/2015, 69 , 43 
B00095,01/23/2015, 883 , 86 
B00221,01/23/2015, 600 , 85 
B00227,01/23/2015, 539 , 162 
B00248,01/23/2015," 1,048 ", 132 
B00254,01/23/2015," 1,173 ", 298 
B00280,01/23/2015, 313 , 90 
B00310,01/23/2015," 1,853 ", 152 
B00381,01/23/2015, 240 , 83 
B00412,01/23/2015, 321 , 78 
B00448,01/23/2015, 3 , 1 
B00457,01/23/2015," 1,271 ", 123 
B00477,01/23/2015, 524 , 150 
B00552,01/23/2015, 32 , 25 
B00623,01/23/2015, 18 , 9 
B00837,01/23/2015, 443 , 156 
B00887,01/23/2015," 2,402 ", 759 
B00919,01/23/2015, 651 , 70 
B00948,01/23/2015, 645 , 60 
B01066,01/23/2015, 765 , 83 
B01083,01/23/2015, 956 , 116 
B01087,01/23/2015, 648 , 243 
B01148,01/23/2015, 489 , 62 
B01197,01/23/2015, 269 , 88 
B01282,01/23/2015," 1,285 ", 80 
B01285,01/23/2015," 1,527 ", 162 
B01300,01/23/2015, 875 , 134 
B01312,01/23/2015, 672 , 111 
B01313,01/23/2015, 21 , 14 
B01315,01/23/2015," 1,634 ", 146 
B01341,01/23/2015," 1,485 ", 172 
b01346,01/23/2015, 835 , 119 
B01367    ,01/23/2015, 194 , 71 
B01386,01/23/2015," 2,607 ", 206 
B01522,01/23/2015, 84 , 15 
B01651,01/23/2015, 405 , 56 
B01777,01/23/2015, 843 , 149 
B01848,01/23/2015, 11 , -   
B01877,01/23/2015, 283 , 121 
B01899,01/23/2015," 1,251 ", 123 
B01949,01/23/2015, 31 , 17 
B01984,01/23/2015, 522 , 99 
B01990,01/23/2015, 138 , 37 
B02003,01/23/2015, 182 , 75 
B02022,01/23/2015, 77 , 29 
B02096,01/23/2015, 17 , 14 
B02107,01/23/2015, 766 , 95 
B02120,01/23/2015, 275 , 92 
B02147,01/23/2015, 56 , 12 
B02183,01/23/2015, 11 , 11 
B02285,01/23/2015, 178 , 77 
B02475,01/23/2015, 23 , 6 
B02513,01/23/2015, 14 , 6 
B02566,01/23/2015, 7 , 6 
B02569,01/23/2015, 159 , 1 
B02653,01/23/2015," 1,184 ", 111 
B02715,01/23/2015, 250 , 75 
B00013,01/24/2015, 99 , 50 
B00014,01/24/2015, 157 , 80 
B00029,01/24/2015," 1,137 ", 44 
B00053,01/24/2015, 28 , 23 
B00095,01/24/2015," 1,066 ", 83 
B00221,01/24/2015, 318 , 71 
B00227,01/24/2015, 150 , 66 
B00248,01/24/2015, 889 , 111 
B00254,01/24/2015, 388 , 134 
B00280,01/24/2015, 146 , 56 
B00310,01/24/2015," 1,747 ", 149 
B00381,01/24/2015, 71 , 32 
B00412,01/24/2015, 138 , 32 
B00448,01/24/2015, 1 , 1 
B00457,01/24/2015," 1,203 ", 115 
B00477,01/24/2015, 182 , 71 
B00552,01/24/2015, 17 , 15 
B00623,01/24/2015, 1 , 1 
B00837,01/24/2015, 176 , 66 
B00887,01/24/2015," 1,342 ", 432 
B00919,01/24/2015, 724 , 67 
B00948,01/24/2015, 642 , 57 
B01066,01/24/2015, 843 , 80 
B01083,01/24/2015," 1,049 ", 105 
B01087,01/24/2015, 171 , 91 
B01148,01/24/2015, 511 , 56 
B01197,01/24/2015, 76 , 35 
B01282,01/24/2015, 971 , 74 
B01285,01/24/2015," 1,515 ", 159 
B01300,01/24/2015, 849 , 126 
B01312,01/24/2015, 434 , 76 
B01313,01/24/2015, 12 , 12 
B01315,01/24/2015," 1,464 ", 141 
B01341,01/24/2015," 1,057 ", 133 
b01346,01/24/2015, 892 , 122 
B01367    ,01/24/2015, 48 , 22 
B01386,01/24/2015," 3,006 ", 202 
B01522,01/24/2015, 74 , 11 
B01651,01/24/2015, 432 , 52 
B01777,01/24/2015, 855 , 138 
B01848,01/24/2015, 10 , -   
B01877,01/24/2015, 56 , 36 
B01899,01/24/2015, 700 , 81 
B01949,01/24/2015, 5 , 5 
B01984,01/24/2015, 251 , 67 
B01990,01/24/2015, 70 , 23 
B02003,01/24/2015, 53 , 27 
B02022,01/24/2015, 24 , 10 
B02096,01/24/2015, 7 , 6 
B02107,01/24/2015, 984 , 84 
B02120,01/24/2015, 109 , 47 
B02147,01/24/2015, 46 , 12 
B02183,01/24/2015, 16 , 14 
B02285,01/24/2015, 65 , 30 
