Base Number,Pick Up Date,Number of Trips,Number of Vehicles
B02022,01/08/2015, 108 , 30 
B02096,01/08/2015, 21 , 14 
B02107,01/08/2015, 825 , 89 
B02120,01/08/2015, 310 , 106 
B02147,01/08/2015, 46 , 11 
B02183,01/08/2015, 6 , 6 
B02285,01/08/2015, 263 , 93 
B02475,01/08/2015, 16 , 7 
B02513,01/08/2015, 22 , 7 
B02566,01/08/2015, 5 , 5 
B02569,01/08/2015, 196 , 1 
B02653,01/08/2015," 1,180 ", 111 
B02715,01/08/2015, 302 , 86 
B00013,01/09/2015, 326 , 93 
B00014,01/09/2015, 510 , 158 
B00029,01/09/2015," 1,159 ", 49 
B00053,01/09/2015, 95 , 52 
B00095,01/09/2015, 460 , 80 
B00221,01/09/2015, 534 , 81 
B00227,01/09/2015, 466 , 144 
B00248,01/09/2015, 932 , 116 
B00254,01/09/2015," 1,316 ", 279 
B00280,01/09/2015, 271 , 79 
B00310,01/09/2015," 1,953 ", 150 
B00381,01/09/2015, 241 , 72 
B00412,01/09/2015, 317 , 73 
B00457,01/09/2015," 1,588 ", 116 
B00477,01/09/2015, 432 , 135 
B00552,01/09/2015, 36 , 22 
B00623,01/09/2015, 21 , 8 
B00837,01/09/2015, 324 , 124 
B00887,01/09/2015," 2,234 ", 693 
B00919,01/09/2015, 869 , 69 
B00948,01/09/2015, 688 , 61 
B01066,01/09/2015, 753 , 84 
B01083,01/09/2015, 935 , 106 
B01087,01/09/2015, 691 , 222 
B01148,01/09/2015, 497 , 66 
B01197,01/09/2015, 231 , 76 
B01282,01/09/2015," 1,001 ", 66 
B01285,01/09/2015," 1,471 ", 161 
B01300,01/09/2015, 831 , 121 
B01312,01/09/2015, 636 , 102 
B01313,01/09/2015, 62 , 45 
B01315,01/09/2015," 1,508 ", 144 
B01341,01/09/2015," 1,730 ", 156 
b01346,01/09/2015, 887 , 108 
B01367    ,01/09/2015, 164 , 54 
B01386,01/09/2015," 2,771 ", 204 
B01522,01/09/2015, 113 , 15 
B01651,01/09/2015, 380 , 56 
B01777,01/09/2015, 916 , 135 
B01848,01/09/2015, 11 , -   
B01877,01/09/2015, 294 , 104 
B01899,01/09/2015," 1,016 ", 116 
B01949,01/09/2015, 28 , 18 
B01984,01/09/2015, 464 , 87 
B01990,01/09/2015, 132 , 36 
B02003,01/09/2015, 215 , 67 
B02022,01/09/2015, 72 , 27 
B02096,01/09/2015, 10 , 10 
B02107,01/09/2015," 1,012 ", 90 
B02120,01/09/2015, 246 , 83 
B02147,01/09/2015, 20 , 8 
B02183,01/09/2015, 15 , 15 
B02285,01/09/2015, 223 , 86 
B02475,01/09/2015, 11 , 5 
B02513,01/09/2015, 16 , 5 
B02566,01/09/2015, 7 , 7 
B02569,01/09/2015, 175 , 1 
B02653,01/09/2015," 1,358 ", 111 
B02715,01/09/2015, 246 , 70 
B00013,01/10/2015, 117 , 54 
B00014,01/10/2015, 226 , 90 
B00029,01/10/2015, 963 , 48 
B00053,01/10/2015, 49 , 31 
B00095,01/10/2015, 535 , 83 
B00221,01/10/2015, 379 , 73 
B00227,01/10/2015, 162 , 74 
B00248,01/10/2015, 984 , 131 
B00254,01/10/2015, 616 , 186 
B00280,01/10/2015, 112 , 52 
B00310,01/10/2015," 2,016 ", 154 
B00381,01/10/2015, 84 , 34 
B00412,01/10/2015, 149 , 39 
B00457,01/10/2015," 1,323 ", 119 
B00477,01/10/2015, 168 , 74 
B00552,01/10/2015, 16 , 13 
B00623,01/10/2015, 6 , 2 
B00837,01/10/2015, 172 , 68 
B00887,01/10/2015," 1,686 ", 582 
B00919,01/10/2015, 689 , 69 
B00948,01/10/2015, 620 , 59 
B01066,01/10/2015, 996 , 83 
B01083,01/10/2015," 1,103 ", 107 
B01087,01/10/2015, 214 , 120 
B01148,01/10/2015, 579 , 61 
B01197,01/10/2015, 70 , 32 
B01282,01/10/2015," 1,089 ", 72 
B01285,01/10/2015," 1,636 ", 154 
B01300,01/10/2015, 951 , 125 
B01312,01/10/2015, 440 , 75 
B01313,01/10/2015, 9 , 6 
B01315,01/10/2015," 1,767 ", 150 
B01341,01/10/2015," 1,123 ", 136 
b01346,01/10/2015," 1,032 ", 112 
B01367    ,01/10/2015, 51 , 27 
B01386,01/10/2015," 2,701 ", 196 
B01522,01/10/2015, 89 , 16 
B01614,01/10/2015, 2 , 2 
B01651,01/10/2015, 405 , 52 
B01777,01/10/2015, 913 , 140 
B01848,01/10/2015, 8 , -   
B01877,01/10/2015, 98 , 48 
B01899,01/10/2015, 817 , 82 
B01949,01/10/2015, 5 , 5 
B01984,01/10/2015, 273 , 79 
B01990,01/10/2015, 92 , 27 
B02003,01/10/2015, 41 , 26 
B02022,01/10/2015, 27 , 10 
B02096,01/10/2015, 6 , 6 
B02107,01/10/2015," 1,017 ", 89 
B02120,01/10/2015, 108 , 44 
B02147,01/10/2015, 28 , 8 
B02183,01/10/2015, 4 , 4 
B02285,01/10/2015, 47 , 25 
B02475,01/10/2015, 19 , 7 
B02513,01/10/2015, 9 , 4 
B02566,01/10/2015, 1 , 1 
B02569,01/10/2015, 94 , 1 
B02653,01/10/2015," 1,354 ", 111 
B02715,01/10/2015, 135 , 53 
B00013,01/11/2015, 144 , 59 
B00014,01/11/2015, 193 , 81 
B00029,01/11/2015, 975 , 42 
B00053,01/11/2015, 46 , 26 
B00095,01/11/2015, 443 , 82 
B00221,01/11/2015, 249 , 56 
B00227,01/11/2015, 273 , 103 
B00248,01/11/2015, 872 , 106 
B00254,01/11/2015, 467 , 168 
B00280,01/11/2015, 90 , 43 
B00310,01/11/2015," 1,745 ", 138 
B00381,01/11/2015, 93 , 39 
B00412,01/11/2015, 161 , 40 
B00457,01/11/2015," 1,194 ", 108 
B00477,01/11/2015, 156 , 62 
B00552,01/11/2015, 17 , 13 
B00623,01/11/2015, 3 , 1 
B00837,01/11/2015, 330 , 105 
B00887,01/11/2015," 1,888 ", 622 
B00919,01/11/2015, 621 , 74 
B00948,01/11/2015, 641 , 56 
B01066,01/11/2015, 786 , 79 
B01083,01/11/2015, 999 , 98 
B01087,01/11/2015, 231 , 113 
B01148,01/11/2015, 561 , 54 
